GO:0050129	NCBITaxon:10090;NCBITaxon:208964;
GO:0051663	NCBITaxon:7227;
GO:0032513	NCBITaxon:10116;NCBITaxon:10090;NCBITaxon:36329;NCBITaxon:6239;NCBITaxon:9606;
GO:0051712	NCBITaxon:9606;
GO:0006285	NCBITaxon:83333;NCBITaxon:284812;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:7227;NCBITaxon:559292;
GO:0043527	NCBITaxon:559292;
GO:1901487	NCBITaxon:284812;
GO:0051503	NCBITaxon:3847;NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:10116;NCBITaxon:9823;NCBITaxon:3702;NCBITaxon:7227;
GO:0008750	NCBITaxon:83333;
GO:0061408	NCBITaxon:284812;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;
GO:0032839	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:9913;NCBITaxon:9606;
GO:0043990	NCBITaxon:9606;
GO:0036372	NCBITaxon:10090;NCBITaxon:7955;
GO:0003845	NCBITaxon:10116;NCBITaxon:10090;
GO:2000198	NCBITaxon:559292;
GO:0032607	NCBITaxon:10090;
GO:0046963	NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:7227;
GO:0045004	NCBITaxon:10090;NCBITaxon:83333;NCBITaxon:559292;
GO:0030168	NCBITaxon:10116;NCBITaxon:10090;NCBITaxon:9606;NCBITaxon:7955;
GO:0032287	NCBITaxon:10090;
GO:0005368	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:7955;NCBITaxon:7227;
GO:0018323	NCBITaxon:10090;
GO:0070126	NCBITaxon:284812;NCBITaxon:9606;NCBITaxon:559292;
GO:1903407	NCBITaxon:10090;NCBITaxon:9913;
GO:0032118	NCBITaxon:284812;
GO:2000574	NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:3055;NCBITaxon:227321;NCBITaxon:559292;NCBITaxon:7227;
GO:0036017	NCBITaxon:10116;NCBITaxon:9606;
GO:0032903	NCBITaxon:10116;
GO:0000991	NCBITaxon:559292;
GO:1904414	NCBITaxon:10090;
GO:0051092	NCBITaxon:10090;NCBITaxon:9544;NCBITaxon:9606;NCBITaxon:10116;NCBITaxon:9823;NCBITaxon:9913;NCBITaxon:7955;NCBITaxon:7227;
GO:0030104	NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:39947;NCBITaxon:10116;NCBITaxon:83333;NCBITaxon:284812;NCBITaxon:7955;NCBITaxon:7227;NCBITaxon:3702;
GO:0048263	NCBITaxon:10090;NCBITaxon:9606;NCBITaxon:7955;NCBITaxon:3702;
GO:0060071	NCBITaxon:10116;NCBITaxon:9031;NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:7955;NCBITaxon:7227;
